dish_id,total_calories,total_mass,total_fat,total_carb,total_protein,ingredient_count,top_ingredient_mass_fraction,top3_ingredient_mass_fraction,ingredient_entropy,ingredient_calories_per_100g,ingredient_carbs_per_100g,ingredient_protein_per_100g,ingredient_fat_per_100g,ingredients,calories_per_100g,carbs_per_100g,protein_per_100g,fat_per_100g,artificial_sweetener,artificial_colours,preservatives,calories_per_100g_relative_deviation,calories_per_100g_penalty,carbs_per_100g_relative_deviation,carbs_per_100g_penalty,protein_per_100g_relative_deviation,protein_per_100g_penalty,fat_per_100g_relative_deviation,fat_per_100g_penalty,nutrient_penalty,processing_penalty,healthiness_score,nutrition_quality_score,score_category,processing_variant
dish_1561662216,300.794281,193.0,12.387489,28.21829,18.63397,17,0.35233160256651186,0.7710600852739886,2.636501155620437,155.8519483989435,14.620874597193009,9.654906288550192,6.418388992555554,"soy sauce, garlic, white rice, parsley, onions, brown rice, vinegar, apple, mixed greens, sugar, salt, lemon juice, olive oil, pork, bok choy, pepper, millet",155.8519590673575,14.620875647668393,9.654906735751297,6.418388082901555,0.0,0.0,0.0,0.23676467120226513,35.87155517781391,0.4601797819711949,59.827100903880066,0.0,0.0,0.0,0.0,95.69865608169397,0.0,4.301343918306031,4.301343918306031,Very Poor,0
dish_1562688426,137.569992,88.0,8.256,5.19,10.297,2,0.8068181818181818,1.0,0.7080803256135678,156.32954545454544,5.897727272727272,11.701136363636362,9.381818181818181,"roasted potatoes, chicken apple sausage",156.32953636363638,5.897727272727273,11.701136363636365,9.381818181818181,0.0,0.0,0.0,0.2405544902801936,36.34844577450697,0.0,0.0,0.0,0.0,0.4273603157104375,56.7907109358007,93.13915671030767,0.0,6.860843289692326,6.860843289692326,Very Poor,0
dish_1561662054,419.438782,292.0,23.838249,26.351543,25.910593,17,0.2883577924821228,0.679733020145215,3.014067078627788,143.64340260551157,9.024500520135255,8.87349027821434,8.163783500773794,"pepper, white rice, mixed greens, garlic, soy sauce, millet, lemon juice, bok choy, olive oil, onions, vinegar, green beans, pork, apple, sugar, salt, parsley",143.64341849315068,9.02450102739726,8.873490753424656,8.16378390410959,0.0,0.0,0.0,0.13988368388921654,22.71291788172868,0.0,0.0,0.0,0.0,0.24204721781374203,36.535539703470654,59.24845758519933,0.0,40.75154241480067,40.75154241480067,Poor,0
dish_1562008979,382.936646,290.0,22.224644,10.17357,35.345387,13,0.4517241457193819,0.9041848017962899,1.8026626031848505,132.04711552322615,3.5081272873815057,12.188064368070078,7.663669380063265,"jalapenos, lemon juice, pork, wheat berry, cabbage, pepper, salt, carrot, garlic, caesar salad, olive oil, parsley, mayonnaise",132.04711931034484,3.508127586206897,12.188064482758621,7.663670344827586,0.0,0.0,0.0,0.047861143833832664,8.313032288886655,0.0,0.0,0.0,0.0,0.16595938131620186,26.444703227955713,34.75773551684237,0.0,65.24226448315764,65.24226448315764,Good,0
dish_1560455030,20.59,103.0,0.148,4.625,0.956,3,0.5339805825242718,1.0,1.447987363513471,19.990291262135923,4.490291262135923,0.9281553398058253,0.1436893203883495,"cherry tomatoes, cucumbers, baby carrots",19.990291262135923,4.490291262135923,0.9281553398058253,0.1436893203883495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8792247741007587,87.90646584572315,0.0,0.0,87.90646584572315,0.0,12.093534154276853,12.093534154276853,Very Poor,0
dish_1558372433,74.360001,143.0,0.286,0.429,20.02,1,1.0,1.0,-0.0,52.0,0.3,13.999999999999998,0.2,deprecated,52.0000006993007,0.3,13.999999999999998,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,Excellent,0
dish_1563379132,232.050003,119.0,14.28,14.28,10.591001,1,1.0,1.0,-0.0,195.00000000000003,12.0,8.9,12.0,chilaquiles,195.0000025210084,12.0,8.900000840336135,12.0,0.0,0.0,0.0,0.5474243342562359,67.20823348178725,0.19843419819035368,30.892772715037843,0.0,0.0,0.82569342707149,85.22316159310385,183.32416778992894,0.0,0.0,0.0,Very Poor,0
dish_1565640549,45.482903,139.0,1.568471,7.043886,2.641478,14,0.24460431478701933,0.6295193048236022,2.953107312913023,32.721515789053846,5.067543424693932,1.900343656112636,1.1283968566302387,"tomatoes, cilantro, olive oil, mustard greens, lemon juice, onions, cucumbers, salt, arugula, jalapenos, asparagus, lime, mangos, cherry tomatoes",32.721512949640285,5.067543884892086,1.9003438848920866,1.1283964028776978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7527197742221696,81.20031680770752,0.0,0.0,81.20031680770752,0.0,18.799683192292477,18.799683192292477,Very Poor,0
dish_1563207364,309.269989,271.0,13.774,30.657,15.01,6,0.25092250922509224,0.6826568265682658,2.3718997394507397,114.12177121771217,11.312546125461257,5.538745387453874,5.082656826568266,"scrambled eggs, yam, grapes, egg whites, olive oil, sweet potato",114.12176715867159,11.312546125461255,5.538745387453874,5.0826568265682655,0.0,0.0,0.0,0.0,0.0,0.1297785121132126,21.227030959578286,0.27927665049250455,41.068785784978026,0.0,0.0,62.29581674455631,0.0,37.70418325544369,37.70418325544369,Poor,0
dish_1561575474,120.058434,183.0,4.966118,17.412746,2.990431,5,0.34972677977843475,0.9936783496576869,1.6352748603466785,65.60569895088196,9.51516131929138,1.634115515126945,2.7137253149041016,"salt, eggplant, roasted potatoes, cauliflower, olive oil",65.60570163934426,9.51516174863388,1.634115300546448,2.7137256830601095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7873624854540054,83.1650171479313,0.0,0.0,83.1650171479313,0.0,16.834982852068705,16.834982852068705,Very Poor,0
